date,Close,Open,High,Low,Volume
2014/11/27,"1,188.80","1,197.30","1,199.30","1,185.40",-
2014/11/26,"1,314.50","1,200.50","1,201.00","1,193.70",75.30K
2014/11/25,"1,315.20","1,197.10","1,197.10","1,197.10",0.00K
2014/11/24,"1,314.20","1,197.70","1,197.90","1,196.50",0.02K
2014/11/21,"1,315.90","1,191.00","1,202.40","1,189.00",0.02K
2014/11/20,"1,308.90","1,191.80","1,191.90","1,190.70",0.00K
2014/11/19,"1,313.40","1,196.50","1,198.30","1,190.00",0.02K
2014/11/18,"1,315.50","1,197.10","1,197.10","1,193.90",0.00K
2014/11/17,"1,303.70","1,183.10","1,186.90","1,180.60",0.02K
2014/11/14,"1,305.60","1,155.20","1,191.00","1,148.00",0.49K
2014/11/13,"1,281.40","1,163.70","1,164.50","1,155.00",1.05K
2014/11/12,"1,280.40","1,162.50","1,168.10","1,157.50",0.02K
2014/11/11,"1,285.10","1,155.00","1,170.50","1,151.60",0.02K
2014/11/10,"1,281.30","1,171.00","1,171.00","1,150.70",0.04K
2014/11/7,"1,291.00","1,139.90","1,169.70","1,132.90",0.10K
2014/11/6,"1,264.40","1,141.10","1,147.50","1,137.90",0.14K
2014/11/5,"1,268.10","1,168.10","1,168.70","1,137.80",0.16K
2014/11/4,"1,290.30","1,166.90","1,171.00","1,165.00",0.04K
2014/11/3,"1,294.40","1,166.40","1,172.30","1,163.10",0.06K
2014/10/31,"1,295.90","1,199.60","1,199.70","1,161.40",0.26K
2014/10/30,"1,322.90","1,213.70","1,214.70","1,195.80",0.52K
2014/10/29,"1,349.20","1,224.30","1,224.30","1,224.30",-
2014/10/28,"1,352.60","1,224.90","1,231.00","1,224.70",0.05K
2014/10/27,"1,352.40","1,230.20","1,230.20","1,227.30",0.28K
2014/10/24,"1,355.00","1,229.40","1,232.70","1,229.40",0.07K
2014/10/23,"1,352.10","1,228.00","1,228.00","1,227.90",0.00K
2014/10/22,"1,366.60","1,244.80","1,244.80","1,244.30",0.00K
2014/10/21,"1,371.80","1,251.00","1,251.00","1,251.00",0.05K
2014/10/20,"1,364.30","1,237.30","1,244.00","1,235.40",0.11K
2014/10/17,"1,358.50","1,237.40","1,237.50","1,232.60",0.36K
2014/10/16,"1,357.50","1,242.10","1,243.00","1,236.70",0.01K
2014/10/15,"1,361.30","1,243.70","1,247.00","1,230.90",0.25K
2014/10/14,"1,359.30","1,235.90","1,235.90","1,235.80",0.07K
2014/10/13,"1,229.30","1,229.80","1,234.00","1,227.00",0.10K
2014/10/10,"1,353.70","1,223.50","1,223.50","1,217.00",0.19K
2014/10/9,"1,358.80","1,223.90","1,229.00","1,223.90",0.02K
2014/10/8,"1,344.20","1,210.20","1,217.90","1,207.00",0.01K
2014/10/7,"1,363.60","1,209.10","1,210.80","1,205.30",0.27K
2014/10/6,"1,360.70","1,338.30","1,338.30","1,338.30",0.01K
2014/10/3,"1,346.90","1,212.40","1,212.40","1,191.00",0.50K
2014/10/2,"1,368.10","1,215.30","1,219.50","1,210.30",0.18K
2014/10/1,"1,370.20","1,207.70","1,217.80","1,205.50",0.18K
2014/9/30,"1,366.70","1,214.80","1,218.20","1,204.00",0.68K
2014/9/29,"1,373.70","1,216.30","1,222.20","1,214.70",6.34K
2014/9/26,"1,370.40","1,214.10","1,214.10","1,214.10",0.00K
2014/9/25,"1,376.40","1,209.50","1,216.10","1,209.50",0.01K
2014/9/24,"1,374.90","1,216.80","1,216.80","1,216.80",0.00K
2014/9/23,"1,377.20","1,221.00","1,221.00","1,221.00",0.01K
2014/9/22,"1,374.20","1,214.90","1,214.90","1,212.40",0.01K
2014/9/19,"1,373.10","1,218.30","1,218.30","1,218.30",0.00K
2014/9/18,"1,383.40","1,216.20","1,220.40","1,216.20",0.01K
2014/9/17,"1,392.00","1,236.20","1,236.20","1,221.90",0.01K
2014/9/16,"1,393.00","1,238.30","1,238.30","1,235.90",0.00K
2014/9/15,"1,391.30","1,226.70","1,235.00","1,226.70",0.02K
2014/9/12,"1,387.80","1,227.00","1,227.00","1,227.00",0.05K
2014/9/11,"1,395.40","1,237.40","1,237.40","1,237.40",-
2014/9/10,"1,402.00","1,256.70","1,256.70","1,243.50",0.10K
2014/9/9,"1,404.60","1,246.80","1,246.80","1,246.80",-
2014/9/8,"1,410.20","1,268.40","1,268.40","1,262.20",0.00K
2014/9/5,"1,423.20","1,263.20","1,268.10","1,263.20",0.12K
2014/9/4,"1,422.30","1,268.70","1,272.70","1,260.30",0.29K
2014/9/3,"1,425.50","1,266.30","1,271.10","1,263.10",0.28K
2014/9/2,"1,419.00","1,284.50","1,286.40","1,262.50",0.28K
2014/9/1,"1,287.40","1,287.60","1,290.90","1,285.90",-
2014/8/31,"1,287.70","1,288.50","1,289.00","1,286.80",-
2014/8/29,"1,440.60","1,289.50","1,289.70","1,284.80",0.12K
2014/8/28,"1,443.80","1,284.50","1,293.70","1,284.30",0.82K
2014/8/27,"1,436.90","1,281.50","1,282.30","1,281.50",0.04K
2014/8/26,"1,439.30","1,289.40","1,289.50","1,281.10",0.07K
2014/8/25,"1,433.10","1,424.90","1,424.90","1,424.90",0.00K
2014/8/22,"1,434.10","1,276.00","1,280.00","1,275.00",0.12K
2014/8/21,"1,429.20","1,290.00","1,290.00","1,272.00",0.26K
2014/8/20,"1,449.00","1,295.40","1,295.80","1,288.40",0.33K
2014/8/19,"1,449.00","1,298.80","1,301.70","1,294.00",0.14K
2014/8/18,"1,452.80","1,301.40","1,302.10","1,295.70",0.10K
2014/8/15,"1,459.40","1,311.70","1,312.80","1,292.00",0.20K
2014/8/14,"1,469.10","1,311.80","1,316.40","1,309.70",0.32K
2014/8/13,"1,467.90","1,308.80","1,312.60","1,305.00",0.24K
2014/8/12,"1,465.30","1,306.20","1,315.80","1,305.80",0.44K
2014/8/11,"1,465.50","1,308.40","1,309.70","1,305.30",0.19K
2014/8/8,"1,465.90","1,310.80","1,322.10","1,308.00",0.59K
2014/8/7,"1,467.30","1,305.30","1,313.20","1,302.50",0.23K
2014/8/6,"1,462.70","1,288.10","1,309.00","1,287.80",0.71K
2014/8/5,"1,439.00","1,288.00","1,292.70","1,282.60",0.83K
2014/8/4,"1,441.90","1,294.40","1,295.00","1,285.90",0.92K
2014/8/1,"1,451.10","1,284.10","1,296.60","1,279.70",1.99K
2014/7/31,"1,441.50","1,295.10","1,297.30","1,280.60",5.66K
2014/7/30,"1,456.10","1,298.60","1,303.00","1,291.00",0.00K
2014/7/29,"1,456.70","1,310.90","1,310.90","1,310.00",0.05K
2014/7/28,"1,462.00","1,307.40","1,308.00","1,304.30",0.05K
2014/7/25,"1,460.30","1,294.80","1,294.80","1,294.80",0.01K
2014/7/24,"1,447.30","1,297.50","1,297.50","1,297.50",0.00K
2014/7/23,"1,460.30","1,304.50","1,304.50","1,304.50",-
2014/7/22,"1,461.60","1,306.10","1,306.10","1,306.10",0.00K
2014/7/21,"1,469.60","1,311.00","1,315.50","1,311.00",0.02K
2014/7/18,"1,464.70","1,322.70","1,322.70","1,306.20",0.03K
2014/7/17,"1,472.10","1,303.10","1,323.80","1,303.10",0.02K
2014/7/16,"1,454.90","1,298.40","1,303.10","1,296.90",0.03K
