date,Close,Open,High,Low,Volume
2013/12/10,131.72,131,131.78,131,5.19K
2013/12/9,130.78,130.81,131.09,130.56,9.60K
2013/12/6,130.38,130.28,131,129.34,14.20K
2013/12/5,130.44,130.72,130.88,130.06,22.38K
2013/12/4,130.62,131.47,131.59,130.44,39.18K
2013/12/3,131.66,131.34,131.91,131.22,30.84K
2013/12/2,131.25,131.91,132.03,131.12,79.42K
2013/11/29,132.22,132.19,132.28,131.72,56.16K
2013/11/28,130.64,130.68,130.74,130.24,-
2013/11/27,132.22,132.5,132.5,131.66,372.92K
2013/11/26,132.72,132.16,132.75,132.09,610.10K
2013/11/25,131.97,132,132.31,131.66,448.91K
2013/11/22,131.91,131.25,132.09,131.16,345.22K
2013/11/21,131.28,130.84,131.34,130.44,454.56K
2013/11/20,131.03,132.47,132.78,130.78,486.33K
2013/11/19,132.47,133.16,133.31,132.41,244.44K
2013/11/18,133,132.53,133.28,132.38,244.27K
2013/11/15,132.53,132.69,132.78,132.16,216.78K
2013/11/14,132.53,132.16,132.97,132.03,388.81K
2013/11/13,131.94,131.44,132.34,131.41,250.17K
2013/11/12,131.5,131.38,131.66,131.12,228.67K
2013/11/11,131.47,131.69,131.75,131.31,45.69K
2013/11/8,131.75,133.84,134.31,131.56,451.72K
2013/11/7,133.69,133.03,133.91,132.88,410.17K
2013/11/6,133.09,132.88,133.28,132.75,277.35K
2013/11/5,132.97,133.91,134.06,132.75,330.97K
2013/11/4,133.97,133.66,134.19,133.62,150.10K
2013/11/1,133.75,134.62,134.72,133.62,288.05K
2013/10/31,134.81,134.88,135.31,134.34,401.71K
2013/10/30,134.97,135.31,135.72,134.59,340.03K
2013/10/29,135.25,135.03,135.41,134.78,244.38K
2013/10/28,135.22,135.22,135.41,134.94,128.10K
2013/10/25,135.34,135.06,135.47,134.97,172.03K
2013/10/24,135.06,135.25,135.75,135,284.13K
2013/10/23,135.47,135,135.72,134.97,280.16K
2013/10/22,135,133.78,135.12,133.72,342.11K
2013/10/21,133.72,134.19,134.25,133.56,197.92K
2013/10/18,134.09,134.09,134.81,133.88,257.62K
2013/10/17,134.16,133.06,134.28,132.97,293.93K
2013/10/16,132.97,131.94,133.12,131.62,312.32K
2013/10/15,132.16,131.97,132.56,131.84,251.90K
2013/10/14,132.22,133.09,133.16,131.88,56.32K
2013/10/11,132.81,132.66,133.47,132.62,285.62K
2013/10/10,132.66,132.91,132.94,132,354.02K
2013/10/9,133.12,133.47,133.78,132.78,326.24K
2013/10/8,133.41,133.44,133.69,132.88,268.86K
2013/10/7,133.34,133.22,133.72,133.16,158.06K
2013/10/4,132.97,133.44,133.47,132.81,230.56K
2013/10/3,133.44,133.38,133.91,132.84,337.13K
2013/10/2,133.28,132.94,133.91,132.78,334.74K
2013/10/1,133,133.41,133.44,132.69,328.93K
2013/9/30,133.38,133.44,133.78,132.97,383.36K
2013/9/27,133.44,133,133.72,132.69,270.15K
2013/9/26,133.12,133.25,133.47,132.88,288.56K
2013/9/25,133.59,132.97,133.72,132.88,312.72K
2013/9/24,132.97,132.06,133.16,132.03,285.48K
2013/9/23,131.91,131.59,132.19,131.41,205.69K
2013/9/20,131.69,131.22,131.91,130.97,283.23K
2013/9/19,132.94,133.38,133.66,132.84,3.26K
2013/9/18,133.47,132.06,133.97,131.16,4.52K
2013/9/17,131.84,131.56,131.97,131.44,1.70K
2013/9/16,131.34,132.28,132.88,131.28,3.05K
2013/9/13,131.31,130.91,131.66,130.59,2.10K
2013/9/12,131.16,131.06,131.81,130.88,5.28K
2013/9/11,130.88,130.09,131,130.09,2.87K
2013/9/10,130.28,130.78,130.84,130.09,8.60K
2013/9/9,131.03,130.47,131.34,130.31,4.60K
2013/9/6,130.47,130.03,131.47,129.78,6.90K
2013/9/5,130.12,131.34,131.5,129.97,9.75K
2013/9/4,131.31,131.53,131.81,131.16,36.14K
2013/9/3,131.72,132.78,132.78,130.78,89.61K
2013/9/2,130.8,131.25,131.32,130.57,-
2013/8/30,133.34,132.94,133.38,132.56,125.37K
2013/8/29,133.12,132.72,133.25,131.84,465.73K
2013/8/28,132.47,133.28,133.5,132.25,624.94K
2013/8/27,133.19,132.12,133.47,131.81,506.78K
2013/8/26,131.97,131.91,132.28,131.66,359.33K
2013/8/23,131.81,130.81,132.06,130.41,418.45K
2013/8/22,130.59,130.31,130.81,129.88,398.41K
