date,Close,Open,High,Low,Volume
2013/8/12,81.374,81.195,81.55,81.11,21.12K
2013/8/9,81.17,81.1,81.225,80.97,18.62K
2013/8/8,81.027,81.325,81.395,80.895,36.43K
2013/8/7,81.323,81.625,81.88,81.27,39.51K
2013/8/6,81.658,81.93,82.015,81.56,28.73K
2013/8/5,81.936,82.01,82.16,81.81,24.48K
2013/8/2,81.978,82.43,82.61,81.9,43.03K
2013/8/1,82.427,81.76,82.495,81.69,44.85K
2013/7/31,81.539,81.93,82.295,81.48,62.80K
2013/7/30,81.919,81.805,82.09,81.69,34.46K
2013/7/29,81.763,81.775,81.935,81.61,27.24K
2013/7/26,81.764,81.88,81.92,81.64,25.30K
2013/7/25,82.053,82.45,82.5,81.71,26.39K
2013/7/24,82.4,82.12,82.515,82.02,34.34K
2013/7/23,82.04,82.27,82.47,82.01,25.19K
2013/7/22,82.317,82.7,82.74,82.13,31.66K
2013/7/19,82.711,82.91,83.06,82.62,21.30K
2013/7/18,82.955,82.82,83.16,82.76,25.50K
2013/7/17,82.84,82.685,83.055,82.475,52.42K
2013/7/16,82.637,83.245,83.27,82.525,32.23K
2013/7/15,83.196,83.115,83.62,83.035,27.75K
2013/7/12,83.163,82.93,83.4,82.885,32.22K
2013/7/11,82.915,82.87,83.425,82.6,52.53K
2013/7/10,84.234,84.875,84.925,83.64,51.06K
2013/7/9,84.781,84.485,84.965,84.31,41.45K
2013/7/8,84.414,84.83,84.835,84.355,31.40K
2013/7/5,84.689,84.125,84.93,84.065,50.50K
2013/7/4,83.451,83.36,84.155,83.335,14.54K
2013/7/3,83.451,83.79,83.935,83.275,33.94K
2013/7/2,83.764,83.205,83.835,83.17,31.75K
2013/7/1,83.253,83.41,83.47,83.175,25.01K
2013/6/28,83.376,83.235,83.595,82.975,35.53K
2013/6/27,83.152,83.13,83.43,83.015,30.55K
2013/6/26,83.228,82.92,83.275,82.735,29.40K
2013/6/25,82.8,82.58,82.95,82.44,38.00K
2013/6/24,82.633,82.71,83.05,82.525,42.42K
2013/6/21,82.517,81.91,82.745,81.765,53.83K
2013/6/20,82.096,81.555,82.32,81.44,58.00K
2013/6/19,81.595,80.86,81.665,80.615,47.80K
2013/6/18,80.749,80.81,81.155,80.71,43.94K
2013/6/17,80.733,80.64,80.805,80.63,0.79K
2013/6/14,80.65,80.755,81,80.595,14.58K
2013/6/13,80.742,80.865,80.98,80.505,28.56K
2013/6/12,80.946,81.1,81.31,80.745,66.88K
2013/6/11,81.11,81.72,81.75,81.025,59.58K
2013/6/10,81.651,81.8,82.09,81.59,54.89K
2013/6/7,81.66,81.585,81.855,81.08,74.33K
2013/6/6,81.537,82.605,82.69,81.065,106.68K
2013/6/5,82.612,82.855,82.91,82.505,42.71K
2013/6/4,82.802,82.73,83,82.63,25.27K
2013/6/3,82.688,83.355,83.415,82.455,50.02K
2013/5/31,83.401,83.1,83.65,83.05,40.09K
2013/5/30,83.067,83.605,83.765,83.01,50.61K
2013/5/29,83.705,84.385,84.43,83.54,47.18K
2013/5/28,84.172,83.725,84.365,83.705,39.15K
2013/5/27,83.758,83.695,83.76,83.565,4.03K
2013/5/24,83.758,83.92,84.02,83.5,39.61K
2013/5/23,83.803,84.435,84.595,83.665,61.59K
2013/5/22,84.459,83.865,84.51,83.52,70.88K
2013/5/21,83.955,83.885,84.3,83.735,42.61K
2013/5/20,83.842,84.24,84.4,83.8,34.69K
2013/5/17,84.387,83.88,84.515,83.865,47.33K
2013/5/16,83.722,83.89,84.125,83.57,40.06K
2013/5/15,83.961,83.72,84.22,83.68,41.08K
2013/5/14,83.713,83.245,83.835,83.045,44.35K
2013/5/13,83.365,83.265,83.455,83.15,21.77K
2013/5/10,83.231,82.815,83.52,82.765,45.85K
2013/5/9,82.875,81.965,82.915,81.835,34.97K
2013/5/8,81.951,82.365,82.4,81.78,25.10K
2013/5/7,82.335,82.38,82.425,82.12,18.35K
2013/5/6,82.378,82.14,82.475,82.04,20.04K
2013/5/3,82.195,82.29,82.61,81.835,41.77K
2013/5/2,82.282,81.64,82.415,81.54,43.07K
2013/5/1,81.522,81.74,81.78,81.37,24.79K
2013/4/30,81.807,82.225,82.355,81.64,34.63K
2013/4/29,82.202,82.445,82.52,82.1,22.78K
2013/4/26,82.571,82.895,82.905,82.46,25.97K
2013/4/25,82.84,83.03,83.055,82.485,30.93K
2013/4/24,83.026,83.21,83.325,82.965,24.95K
2013/4/23,83.186,82.765,83.2,82.65,28.99K
2013/4/22,82.824,82.835,83.045,82.735,29.89K
2013/4/19,82.846,82.67,82.895,82.4,30.43K
2013/4/18,82.681,82.735,82.755,82.46,24.10K
2013/4/17,82.791,81.895,82.815,81.89,51.70K
2013/4/16,81.823,82.395,82.62,81.78,42.10K
2013/4/15,82.507,82.19,82.545,82.19,30.02K
2013/4/12,82.406,82.295,82.585,82.14,25.29K
2013/4/11,82.325,82.65,82.68,82.14,27.95K
2013/4/10,82.634,82.485,82.675,82.32,24.75K
2013/4/9,82.414,82.78,82.82,82.375,21.87K
2013/4/8,82.869,82.75,82.955,82.605,19.37K
2013/4/5,82.603,82.88,83.01,82.31,30.71K
2013/4/4,82.795,82.84,83.66,82.74,43.46K
2013/4/3,82.861,83.075,83.245,82.77,20.05K
2013/4/2,83.092,82.87,83.13,82.645,16.80K
2013/4/1,82.899,83.175,83.365,82.81,12.02K
2013/3/28,83.175,83.42,83.46,83.02,20.73K
2013/3/27,83.411,83.04,83.52,83.01,28.79K
2013/3/26,83.048,83.02,83.165,82.88,19.34K
2013/3/25,82.995,82.61,83.11,81.83,30.09K
2013/3/22,82.529,82.96,82.985,82.435,27.12K
2013/3/21,82.905,83,83.185,82.835,22.59K
2013/3/20,82.948,83.24,83.245,82.725,30.49K
2013/3/19,83.211,82.935,83.315,82.83,32.72K
2013/3/18,82.574,82.68,82.83,82.545,0.68K
2013/3/15,82.256,82.53,82.605,82.06,15.35K
2013/3/14,82.623,82.915,83.18,82.44,36.80K
2013/3/13,82.902,82.575,83.07,82.35,50.33K
2013/3/12,82.595,82.675,82.815,82.425,30.03K
2013/3/11,82.58,82.76,82.885,82.53,31.26K
2013/3/8,82.731,82.165,82.945,82.105,39.05K
2013/3/7,82.123,82.615,82.62,81.995,35.17K
2013/3/6,82.507,82.02,82.64,81.975,26.04K
2013/3/5,82.147,82.21,82.3,81.955,25.02K
2013/3/4,82.255,82.355,82.53,82.23,19.76K
2013/3/1,82.358,82.01,82.58,81.85,34.83K
2013/2/28,82.003,81.605,82.075,81.535,27.99K
2013/2/27,81.672,81.94,81.985,81.555,38.85K
2013/2/26,81.94,81.93,82.035,81.63,46.51K
2013/2/25,81.777,81.705,82.005,81.165,50.84K
2013/2/22,81.585,81.485,81.7,81.26,33.31K
2013/2/21,81.551,81.175,81.625,81.125,39.69K
2013/2/20,81.155,80.46,81.23,80.35,40.94K
2013/2/19,80.545,80.745,80.765,80.505,15.64K
2013/2/18,80.576,80.7,80.83,80.605,9.34K
2013/2/15,80.576,80.48,80.675,80.305,19.40K
2013/2/14,80.538,80.18,80.71,80.145,34.17K
2013/2/13,80.167,80.1,80.255,79.915,28.47K
2013/2/12,80.163,80.415,80.59,79.99,27.87K
